Nb,Sector,Type,magnet,Loop,nc,L,QS,Kvmax,R,u0,QEH,T2,CV1,CV2,P1,P4,T3,T1,Qbs,MassFlow,TC84x,TC94x
351,67,ARC,Q17,QRLAA_17L7_X43,4,53,7,0.39,43,9,LBARB_17L7_EH843,LBARB_17L7_TT843,QRLAA_17L7_CV943,0,QRLAA_17L7_PT961,QRLAA_17L7_PT991,QRLAA_17L7_TT943,QRLAA_17L7_TT961,QRLAA_17L7_QBS943,QRLAA_17L7_FT943,LBARB_17L7_TC843,QRLAA_17L7_TC943
352,67,ARC,Q16,QRLAB_15L7_X47,4,53,7,0.39,36,7,LQATT_16L7_EH847,LQATT_16L7_TT847,QRLAB_15L7_CV947,0,QRLAA_17L7_PT961,QRLAA_17L7_PT991,QRLAB_15L7_TT947,QRLAA_17L7_TT961,QRLAB_15L7_QBS947,QRLAB_15L7_FT947,LQATT_16L7_TC847,QRLAB_15L7_TC947
353,67,ARC,Q15,QRLAB_15L7_X43,4,53,7,0.39,36,8,LBARB_15L7_EH843,LBARB_15L7_TT843,QRLAB_15L7_CV943,0,QRLAA_13L7_PT961,QRLAA_13L7_PT991,QRLAB_15L7_TT943,QRLAA_13L7_TT961,QRLAB_15L7_QBS943,QRLAB_15L7_FT943,LBARB_15L7_TC843,QRLAB_15L7_TC943
354,67,ARC,Q14,QRLAA_13L7_X47,4,53,7,0.39,39,8,LQATT_14L7_EH847,LQATT_14L7_TT847,QRLAA_13L7_CV947,0,QRLAA_13L7_PT961,QRLAA_13L7_PT991,QRLAA_13L7_TT947,QRLAA_13L7_TT961,QRLAA_13L7_QBS947,QRLAA_13L7_FT947,LQATT_14L7_TC847,QRLAA_13L7_TC947
355,67,ARC,Q13,QRLAA_13L7_X43,4,53,7,0.39,38,9,LBARB_13L7_EH843,LBARB_13L7_TT843,QRLAA_13L7_CV943,0,QRLAA_13L7_PT961,QRLAA_13L7_PT991,QRLAA_13L7_TT943,QRLAA_13L7_TT961,QRLAA_13L7_QBS943,QRLAA_13L7_FT943,LBARB_13L7_TC843,QRLAA_13L7_TC943
356,67,ARC,Q12,QRLAB_11L7_X47,4,53,7,0.39,42,8,LQATT_12L7_EH847,LQATT_12L7_TT847,QRLAB_11L7_CV947,0,QRLAA_13L7_PT961,QRLAA_13L7_PT991,QRLAB_11L7_TT947,QRLAA_13L7_TT961,QRLAB_11L7_QBS947,QRLAB_11L7_FT947,LQATT_12L7_TC847,QRLAB_11L7_TC947
357,67,ARC,Q11,QRLAB_11L7_X43,4,45,7,0.39,36,8,LBBRB_11L7_EH843,LBBRB_11L7_TT843,QRLAB_11L7_CV943,0,QRLBA_09L7_PT961,QRLBA_09L7_PT991,QRLAB_11L7_TT943,QRLBA_09L7_TT961,QRLAB_11L7_QBS943,QRLAB_11L7_FT943,LBBRB_11L7_TC843,QRLAB_11L7_TC943
358,67,ARC,Q10,QRLBA_09L7_X47,4,45,7,0.39,46,9,LQTCO_10L7_EH847,LQTCO_10L7_TT847,QRLBA_09L7_CV947,0,QRLBA_09L7_PT961,QRLBA_09L7_PT991,QRLBA_09L7_TT947,QRLBA_09L7_TT961,QRLBA_09L7_QBS947,QRLBA_09L7_FT947,LQTCO_10L7_TC847,QRLBA_09L7_TC947
359,67,ARC,Q9,QRLBA_09L7_X43,4,45,7,0.39,33,8,LBBRB_09L7_EH843,LBBRB_09L7_TT843,QRLBA_09L7_CV943,0,QRLBA_09L7_PT961,QRLBA_09L7_PT991,QRLBA_09L7_TT943,QRLBA_09L7_TT961,QRLBA_09L7_QBS943,QRLBA_09L7_FT943,LBBRB_09L7_TC843,QRLBA_09L7_TC943
360,67,LSS,Q8,QRLCC_07L7_X43,4,40,7,0.22,44,8,LQTCO_08L7_EH847,LQTCO_08L7_TT847,QRLCC_07L7_CV943,QRLCC_07L7_CV947,QRLBA_09L7_PT961,QRLBA_09L7_PT991,QRLCC_07L7_TT943,QRLBA_09L7_TT961,QRLCC_07L7_QBS947,QRLCC_07L7_FT947,LQTCO_08L7_TC847,QRLCC_07L7_TC943
361,67,LSS,Q7,QRLCC_07L7_X45,4,13.5,7,0.22,49,7,LQTAD_07L7_EH845,LQTAD_07L7_TT845,QRLCC_07L7_CV945,0,QRLBA_09L7_PT961,QRLBA_09L7_PT991,QRLCC_07L7_TT945,QRLBA_09L7_TT961,QRLCC_07L7_QBS945,QRLCC_07L7_FT945,LQTAD_07L7_TC845,QRLCC_07L7_TC945
362,67,LSS,Q6,QRLEA_06L7_X47,4,24,9,0.22,0,50,LQTFA_06L7_EH847,LQTFA_06L7_TT847A,QRLEA_06L7_CV947,0,QRLEA_06L7_PT961,QRLEA_06L7_PT991,QRLEA_06L7_TT947,QRLEA_06L7_TT961,QRLEA_06L7_QBS947,QRLEA_06L7_FT947,LQTFA_06L7_TC847,QRLEA_06L7_TC947
363,78,LSS,Q6,QRLEA_06R7_X47,4,24,4,0.18,0,44,LQTFB_06R7_EH847,LQTFB_06R7_TT847A,QRLEA_06R7_CV947,0,QRLEA_06R7_PT961,QRLEA_06R7_PT991,QRLEA_06R7_TT947,QRLEA_06R7_TT961,QRLEA_06R7_QBS947,QRLEA_06R7_FT947,LQTFB_06R7_TC847,QRLEA_06R7_TC947
364,78,LSS,Q7,QRLCH_07R7_X43,4,40,7,0.26,42,8,LBBRB_08R7_EH843,LBBRB_08R7_TT843,QRLCH_07R7_CV943,QRLCH_07R7_CV947,QRLBA_09R7_PT961,QRLBA_09R7_PT991,QRLCH_07R7_TT943,QRLBA_09R7_TT961,QRLCH_07R7_QBS943,QRLCH_07R7_FT943,LBBRB_08R7_TC843,QRLCH_07R7_TC943
365,78,ARC,Q8,QRLBA_09R7_X47,4,45,7,0.39,34,9,LQTBB_08R7_EH847,LQTBB_08R7_TT847,QRLBA_09R7_CV947,0,QRLBA_09R7_PT961,QRLBA_09R7_PT991,QRLBA_09R7_TT947,QRLBA_09R7_TT961,QRLBA_09R7_QBS947,QRLBA_09R7_FT947,LQTBB_08R7_TC847,QRLBA_09R7_TC947
366,78,ARC,Q9,QRLBA_09R7_X43,4,45,7,0.39,39,7,LBBRB_10R7_EH843,LBBRB_10R7_TT843,QRLBA_09R7_CV943,0,QRLBA_09R7_PT961,QRLBA_09R7_PT991,QRLBA_09R7_TT943,QRLBA_09R7_TT961,QRLBA_09R7_QBS943,QRLBA_09R7_FT943,LBBRB_10R7_TC843,QRLBA_09R7_TC943
367,78,ARC,Q10,QRLAB_11R7_X47,4,45,7,0.39,44,8,LQTBB_10R7_EH847,LQTBB_10R7_TT847,QRLAB_11R7_CV947,0,QRLBA_09R7_PT961,QRLBA_09R7_PT991,QRLAB_11R7_TT947,QRLBA_09R7_TT961,QRLAB_11R7_QBS947,QRLAB_11R7_FT947,LQTBB_10R7_TC847,QRLAB_11R7_TC947
