Nb,Sector,Type,magnet,Loop,QEH,T2,CV1,CV2,P1,P4,T3,T1,QS,R,Kvmax,nc,L,Qbs,MassFlow,TC84x,TC94x,rms rel error
381,78,ARC,Q24,QRLAA_25R7_X47,LQOAG_24R7_EH847.POSST,LQOAG_24R7_TT847.POSST,QRLAA_25R7_CV947.POSST,0,QRLAA_25R7_PT961.POSST,QRLAA_25R7_PT991.POSST,QRLAA_25R7_TT947.POSST,QRLAA_25R7_TT961.POSST,5,40,0.39,4,53,QRLAA_25R7_QBS947.POSST,QRLAA_25R7_FT947.POSST,LQOAG_24R7_TC847,QRLAA_25R7_TC947,10
382,78,ARC,Q25,QRLAA_25R7_X43,LBARB_26R7_EH843.POSST,LBARB_26R7_TT843.POSST,QRLAA_25R7_CV943.POSST,0,QRLAA_25R7_PT961.POSST,QRLAA_25R7_PT991.POSST,QRLAA_25R7_TT943.POSST,QRLAA_25R7_TT961.POSST,5,35,0.39,4,53,QRLAA_25R7_QBS943.POSST,QRLAA_25R7_FT943.POSST,LBARB_26R7_TC843,QRLAA_25R7_TC943,12
383,78,ARC,Q26,QRLAB_27R7_X47,LQOAG_26R7_EH847.POSST,LQOAG_26R7_TT847.POSST,QRLAB_27R7_CV947.POSST,0,QRLAA_25R7_PT961.POSST,QRLAA_25R7_PT991.POSST,QRLAB_27R7_TT947.POSST,QRLAA_25R7_TT961.POSST,5,48,0.39,4,53,QRLAB_27R7_QBS947.POSST,QRLAB_27R7_FT947.POSST,LQOAG_26R7_TC847,QRLAB_27R7_TC947,4
384,78,ARC,Q27,QRLAB_27R7_X43,LBARB_28R7_EH843.POSST,LBARB_28R7_TT843.POSST,QRLAB_27R7_CV943.POSST,0,QRLAA_29R7_PT961.POSST,QRLAA_29R7_PT991.POSST,QRLAB_27R7_TT943.POSST,QRLAA_29R7_TT961.POSST,5,37,0.39,4,53,QRLAB_27R7_QBS943.POSST,QRLAB_27R7_FT943.POSST,LBARB_28R7_TC843,QRLAB_27R7_TC943,2
385,78,ARC,Q28,QRLAA_29R7_X47,LQOAG_28R7_EH847.POSST,LQOAG_28R7_TT847.POSST,QRLAA_29R7_CV947.POSST,0,QRLAA_29R7_PT961.POSST,QRLAA_29R7_PT991.POSST,QRLAA_29R7_TT947.POSST,QRLAA_29R7_TT961.POSST,5,39,0.39,4,53,QRLAA_29R7_QBS947.POSST,QRLAA_29R7_FT947.POSST,LQOAG_28R7_TC847,QRLAA_29R7_TC947,3
386,78,ARC,Q29,QRLAA_29R7_X43,LBARB_30R7_EH843.POSST,LBARB_30R7_TT843.POSST,QRLAA_29R7_CV943.POSST,0,QRLAA_29R7_PT961.POSST,QRLAA_29R7_PT991.POSST,QRLAA_29R7_TT943.POSST,QRLAA_29R7_TT961.POSST,5,40,0.39,4,53,QRLAA_29R7_QBS943.POSST,QRLAA_29R7_FT943.POSST,LBARB_30R7_TC843,QRLAA_29R7_TC943,8
387,78,ARC,Q30,QRLAC_31R7_X47,LQOAM_30R7_EH847.POSST,LQOAM_30R7_TT847.POSST,QRLAC_31R7_CV947.POSST,0,QRLAA_29R7_PT961.POSST,QRLAA_29R7_PT991.POSST,QRLAC_31R7_TT947.POSST,QRLAA_29R7_TT961.POSST,5,49,0.39,4,53,QRLAC_31R7_QBS947.POSST,QRLAC_31R7_FT947.POSST,LQOAM_30R7_TC847,QRLAC_31R7_TC947,7
388,78,ARC,Q31,QRLAC_31R7_X43,LBARB_32R7_EH843.POSST,LBARB_32R7_TT843.POSST,QRLAC_31R7_CV943.POSST,0,QRLAA_33L8_PT961.POSST,QRLAA_33L8_PT991.POSST,QRLAC_31R7_TT943.POSST,QRLAA_33L8_TT961.POSST,5,39,0.39,4,53,QRLAC_31R7_QBS943.POSST,QRLAC_31R7_FT943.POSST,LBARB_32R7_TC843,QRLAC_31R7_TC943,4
389,78,ARC,Q32,QRLAD_33R7_X47,LQOAG_32R7_EH847.POSST,LQOAG_32R7_TT847.POSST,QRLAD_33R7_CV947.POSST,0,QRLAA_33L8_PT961.POSST,QRLAA_33L8_PT991.POSST,QRLAD_33R7_TT947.POSST,QRLAA_33L8_TT961.POSST,5,47,0.39,4,53,QRLAD_33R7_QBS947.POSST,QRLAD_33R7_FT947.POSST,LQOAG_32R7_TC847,QRLAD_33R7_TC947,6
390,78,ARC,Q33,QRLAD_33R7_X43,LBARB_34R7_EH843.POSST,LBARB_34R7_TT843.POSST,QRLAD_33R7_CV943.POSST,0,QRLAA_33L8_PT961.POSST,QRLAA_33L8_PT991.POSST,QRLAD_33R7_TT943.POSST,QRLAA_33L8_TT961.POSST,5,36,0.39,4,53,QRLAD_33R7_QBS943.POSST,QRLAD_33R7_FT943.POSST,LBARB_34R7_TC843,QRLAD_33R7_TC943,2
391,78,ARC,Q34,QRLAA_33L8_X47,LQOAM_34R7_EH847.POSST,LQOAM_34R7_TT847.POSST,QRLAA_33L8_CV947.POSST,0,QRLAA_33L8_PT961.POSST,QRLAA_33L8_PT991.POSST,QRLAA_33L8_TT947.POSST,QRLAA_33L8_TT961.POSST,5,51,0.39,4,53,QRLAA_33L8_QBS947.POSST,QRLAA_33L8_FT947.POSST,LQOAM_34R7_TC847,QRLAA_33L8_TC947,6
392,78,ARC,Q33,QRLAA_33L8_X43,LBARB_33L8_EH843.POSST,LBARB_33L8_TT843.POSST,QRLAA_33L8_CV943.POSST,0,QRLAA_33L8_PT961.POSST,QRLAA_33L8_PT991.POSST,QRLAA_33L8_TT943.POSST,QRLAA_33L8_TT961.POSST,5,44,0.39,4,53,QRLAA_33L8_QBS943.POSST,QRLAA_33L8_FT943.POSST,LBARB_33L8_TC843,QRLAA_33L8_TC943,6
393,78,ARC,Q32,QRLAB_31L8_X47,LQOAM_32L8_EH847.POSST,LQOAM_32L8_TT847.POSST,QRLAB_31L8_CV947.POSST,0,QRLAA_33L8_PT961.POSST,QRLAA_33L8_PT991.POSST,QRLAB_31L8_TT947.POSST,QRLAA_33L8_TT961.POSST,5,44,0.39,4,53,QRLAB_31L8_QBS947.POSST,QRLAB_31L8_FT947.POSST,LQOAM_32L8_TC847,QRLAB_31L8_TC947,9
394,78,ARC,Q31,QRLAB_31L8_X43,LBARB_31L8_EH843.POSST,LBARB_31L8_TT843.POSST,QRLAB_31L8_CV943.POSST,0,QRLAA_29L8_PT961.POSST,QRLAA_29L8_PT991.POSST,QRLAB_31L8_TT943.POSST,QRLAA_29L8_TT961.POSST,5,46,0.39,4,53,QRLAB_31L8_QBS943.POSST,QRLAB_31L8_FT943.POSST,LBARB_31L8_TC843,QRLAB_31L8_TC943,9
395,78,ARC,Q30,QRLAA_29L8_X47,LQOAG_30L8_EH847.POSST,LQOAG_30L8_TT847.POSST,QRLAA_29L8_CV947.POSST,0,QRLAA_29L8_PT961.POSST,QRLAA_29L8_PT991.POSST,QRLAA_29L8_TT947.POSST,QRLAA_29L8_TT961.POSST,5,45,0.39,4,53,QRLAA_29L8_QBS947.POSST,QRLAA_29L8_FT947.POSST,LQOAG_30L8_TC847,QRLAA_29L8_TC947,0
396,78,ARC,Q29,QRLAA_29L8_X43,LBARB_29L8_EH843.POSST,LBARB_29L8_TT843.POSST,QRLAA_29L8_CV943.POSST,0,QRLAA_29L8_PT961.POSST,QRLAA_29L8_PT991.POSST,QRLAA_29L8_TT943.POSST,QRLAA_29L8_TT961.POSST,5,58,0.39,4,53,QRLAA_29L8_QBS943.POSST,QRLAA_29L8_FT943.POSST,LBARB_29L8_TC843,QRLAA_29L8_TC943,2
397,78,ARC,Q28,QRLAB_27L8_X47,LQOAM_28L8_EH847.POSST,LQOAM_28L8_TT847.POSST,QRLAB_27L8_CV947.POSST,0,QRLAA_29L8_PT961.POSST,QRLAA_29L8_PT991.POSST,QRLAB_27L8_TT947.POSST,QRLAA_29L8_TT961.POSST,5,42,0.39,4,53,QRLAB_27L8_QBS947.POSST,QRLAB_27L8_FT947.POSST,LQOAM_28L8_TC847,QRLAB_27L8_TC947,3
398,78,ARC,Q27,QRLAB_27L8_X43,LBARB_27L8_EH843.POSST,LBARB_27L8_TT843.POSST,QRLAB_27L8_CV943.POSST,0,QRLAF_25L8_PT961.POSST,QRLAF_25L8_PT991.POSST,QRLAB_27L8_TT943.POSST,QRLAF_25L8_TT961.POSST,5,38,0.39,4,53,QRLAB_27L8_QBS943.POSST,QRLAB_27L8_FT943.POSST,LBARB_27L8_TC843,QRLAB_27L8_TC943,4
399,78,ARC,Q26,QRLAF_25L8_X47,LQOAG_26L8_EH847.POSST,LQOAG_26L8_TT847.POSST,QRLAF_25L8_CV947.POSST,0,QRLAF_25L8_PT961.POSST,QRLAF_25L8_PT991.POSST,QRLAF_25L8_TT947.POSST,QRLAF_25L8_TT961.POSST,5,50,0.39,4,53,QRLAF_25L8_QBS947.POSST,QRLAF_25L8_FT947.POSST,LQOAG_26L8_TC847,QRLAF_25L8_TC947,10
400,78,ARC,Q25,QRLAF_25L8_X43,LBARB_25L8_EH843.POSST,LBARB_25L8_TT843.POSST,QRLAF_25L8_CV943.POSST,0,QRLAF_25L8_PT961.POSST,QRLAF_25L8_PT991.POSST,QRLAF_25L8_TT943.POSST,QRLAF_25L8_TT961.POSST,5,39,0.39,4,53,QRLAF_25L8_QBS943.POSST,QRLAF_25L8_FT943.POSST,LBARB_25L8_TC843,QRLAF_25L8_TC943,4
401,78,ARC,Q24,QRLAB_23L8_X47,LQOAG_24L8_EH847.POSST,LQOAG_24L8_TT847.POSST,QRLAB_23L8_CV947.POSST,0,QRLAF_25L8_PT961.POSST,QRLAF_25L8_PT991.POSST,QRLAB_23L8_TT947.POSST,QRLAF_25L8_TT961.POSST,5,36,0.39,4,53,QRLAB_23L8_QBS947.POSST,QRLAB_23L8_FT947.POSST,LQOAG_24L8_TC847,QRLAB_23L8_TC947,12
402,78,ARC,Q23,QRLAB_23L8_X43,LBARB_23L8_EH843.POSST,LBARB_23L8_TT843.POSST,QRLAB_23L8_CV943.POSST,0,QRLAA_21L8_PT961.POSST,QRLAA_21L8_PT991.POSST,QRLAB_23L8_TT943.POSST,QRLAA_21L8_TT961.POSST,5,43,0.39,4,53,QRLAB_23L8_QBS943.POSST,QRLAB_23L8_FT943.POSST,LBARB_23L8_TC843,QRLAB_23L8_TC943,7
403,78,ARC,Q22,QRLAA_21L8_X47,LQOAG_22L8_EH847.POSST,LQOAG_22L8_TT847.POSST,QRLAA_21L8_CV947.POSST,0,QRLAA_21L8_PT961.POSST,QRLAA_21L8_PT991.POSST,QRLAA_21L8_TT947.POSST,QRLAA_21L8_TT961.POSST,5,22,0.39,4,53,QRLAA_21L8_QBS947.POSST,QRLAA_21L8_FT947.POSST,LQOAG_22L8_TC847,QRLAA_21L8_TC947,9
