Nb,Sector,Type,magnet,Loop,QEH,T2,CV1,CV2,P1,P4,T3,T1,QS,R,Kvmax,nc,L,Qbs,MassFlow,TC84x,TC94x,rms rel error
61,12,LSS,Q5,QRLEA_05L2_X47,LQYFA_05L2_EH847.POSST,LQYFA_05L2_TT847A.POSST,QRLEA_05L2_CV947.POSST,0,QRLEA_05L2_PT961.POSST,QRLEA_05L2_PT991.POSST,QRLEA_05L2_TT947.POSST,QRLEA_05L2_TT961.POSST,10,100,0.05,2,26,QRLEA_05L2_QBS947.POSST,QRLEA_05L2_FT947.POSST,LQYFA_05L2_TC847,QRLEA_05L2_TC947,41
62,12,LSS,D2Q4,QRLFE_04L2_X47,LQYEB_04L2_EH847.POSST,LQYEB_04L2_TT847A.POSST,QRLFE_04L2_CV947.POSST,0,QRLFE_04L2_PT961.POSST,QRLFE_04L2_PT991.POSST,QRLFE_04L2_TT947.POSST,QRLFE_04L2_TT961.POSST,0,80,0.1,2,45,QRLFE_04L2_QBS947.POSST,QRLFE_04L2_FT947.POSST,LQYEB_04L2_TC847,QRLFE_04L2_TC947,2
63,12,LSS,Q1Q2Q3,QRLGF_03L2_X47,LQXAB_01L2_EH847.POSST,LQXAB_01L2_TT847A.POSST,QRLGF_03L2_CV947.POSST,0,QRLGF_03L2_PT961.POSST,QRLGF_03L2_PT991.POSST,QRLGF_03L2_TT947.POSST,QRLGF_03L2_TT961.POSST,5,40,0.26,2,45,QRLGF_03L2_QBS947.POSST,QRLGF_03L2_FT947.POSST,LQXAB_01L2_TC847,QRLGF_03L2_TC947,36
64,23,LSS,Q1Q2Q3,QRLGE_03R2_X47,LQXAA_01R2_EH847.POSST,LQXAA_01R2_TT847A.POSST,QRLGE_03R2_CV947.POSST,0,QRLGE_03R2_PT961.POSST,QRLGE_03R2_PT991.POSST,QRLGE_03R2_TT947.POSST,QRLGE_03R2_TT961.POSST,2,40,0.26,2,45,QRLGE_03R2_QBS947.POSST,QRLGE_03R2_FT947.POSST,LQXAA_01R2_TC847,QRLGE_03R2_TC947,15
65,23,LSS,D2Q4,QRLFF_04R2_X47,LQYED_04R2_EH847.POSST,LQYED_04R2_TT847A.POSST,QRLFF_04R2_CV947.POSST,0,QRLFF_04R2_PT961.POSST,QRLFF_04R2_PT991.POSST,QRLFF_04R2_TT947.POSST,QRLFF_04R2_TT961.POSST,3,50,0.1,2,45,QRLFF_04R2_QBS947.POSST,QRLFF_04R2_FT947.POSST,LQYED_04R2_TC847,QRLFF_04R2_TC947,37
66,23,LSS,Q5,QRLEA_05R2_X47,LQNMA_05R2_EH847.POSST,LQNMA_05R2_TT847A.POSST,QRLEA_05R2_CV947.POSST,0,QRLEA_05R2_PT961.POSST,QRLEA_05R2_PT991.POSST,QRLEA_05R2_TT947.POSST,QRLEA_05R2_TT961.POSST,10,20,0.05,2,26,QRLEA_05R2_QBS947.POSST,QRLEA_05R2_FT947.POSST,LQNMA_05R2_TC847,QRLEA_05R2_TC947,29
67,23,LSS,Q6,QRLEA_06R2_X47,LQNLD_06R2_EH847.POSST,LQNLD_06R2_TT847A.POSST,QRLEA_06R2_CV947.POSST,0,QRLEA_06R2_PT961.POSST,QRLEA_06R2_PT991.POSST,QRLEA_06R2_TT947.POSST,QRLEA_06R2_TT961.POSST,0,20,0.05,2,24,QRLEA_06R2_QBS947.POSST,QRLEA_06R2_FT947.POSST,LQNLD_06R2_TC847,QRLEA_06R2_TC947,28
68,23,LSS,Q7,QRLCA_07R2_X43,LBBLF_08R2_EH843.POSST,LBBLF_08R2_TT843.POSST,QRLCA_07R2_CV943.POSST,QRLCA_07R2_CV947.POSST,QRLBA_09R2_PT961.POSST,QRLBA_09R2_PT991.POSST,QRLCA_07R2_TT943.POSST,QRLBA_09R2_TT961.POSST,0,40,0.22,4,40,QRLCA_07R2_QBS943.POSST,QRLCA_07R2_FT943.POSST,LBBLF_08R2_TC843,QRLCA_07R2_TC943,x
69,23,ARC,Q8,QRLBA_09R2_X47,LQNCB_08R2_EH847.POSST,LQNCB_08R2_TT847.POSST,QRLBA_09R2_CV947.POSST,0,QRLBA_09R2_PT961.POSST,QRLBA_09R2_PT991.POSST,QRLBA_09R2_TT947.POSST,QRLBA_09R2_TT961.POSST,5,42,0.39,4,45,QRLBA_09R2_QBS947.POSST,QRLBA_09R2_FT947.POSST,LQNCB_08R2_TC847,QRLBA_09R2_TC947,4
70,23,ARC,Q9,QRLBA_09R2_X43,LBBLF_10R2_EH843.POSST,LBBLF_10R2_TT843.POSST,QRLBA_09R2_CV943.POSST,0,QRLBA_09R2_PT961.POSST,QRLBA_09R2_PT991.POSST,QRLBA_09R2_TT943.POSST,QRLBA_09R2_TT961.POSST,5,37,0.39,4,45,QRLBA_09R2_QBS943.POSST,QRLBA_09R2_FT943.POSST,LBBLF_10R2_TC843,QRLBA_09R2_TC943,1
71,23,ARC,Q10,QRLAB_11R2_X47,LQNCB_10R2_EH847.POSST,LQNCB_10R2_TT847.POSST,QRLAB_11R2_CV947.POSST,0,QRLBA_09R2_PT961.POSST,QRLBA_09R2_PT991.POSST,QRLAB_11R2_TT947.POSST,QRLBA_09R2_TT961.POSST,5,40,0.39,4,45,QRLAB_11R2_QBS947.POSST,QRLAB_11R2_FT947.POSST,LQNCB_10R2_TC847,QRLAB_11R2_TC947,0
72,23,ARC,Q11,QRLAB_11R2_X43,LBALB_12R2_EH843.POSST,LBALB_12R2_TT843.POSST,QRLAB_11R2_CV943.POSST,0,QRLAA_13R2_PT961.POSST,QRLAA_13R2_PT991.POSST,QRLAB_11R2_TT943.POSST,QRLAA_13R2_TT961.POSST,5,38,0.39,4,53,QRLAB_11R2_QBS943.POSST,QRLAB_11R2_FT943.POSST,LBALB_12R2_TC843,QRLAB_11R2_TC943,0
73,23,ARC,Q12,QRLAA_13R2_X47,LQATI_12R2_EH847.POSST,LQATI_12R2_TT847.POSST,QRLAA_13R2_CV947.POSST,0,QRLAA_13R2_PT961.POSST,QRLAA_13R2_PT991.POSST,QRLAA_13R2_TT947.POSST,QRLAA_13R2_TT961.POSST,5,20,0.39,4,53,QRLAA_13R2_QBS947.POSST,QRLAA_13R2_FT947.POSST,LQATI_12R2_TC847,QRLAA_13R2_TC947,21
74,23,ARC,Q13,QRLAA_13R2_X43,LBALB_14R2_EH843.POSST,LBALB_14R2_TT843.POSST,QRLAA_13R2_CV943.POSST,0,QRLAA_13R2_PT961.POSST,QRLAA_13R2_PT991.POSST,QRLAA_13R2_TT943.POSST,QRLAA_13R2_TT961.POSST,5,41,0.39,4,53,QRLAA_13R2_QBS943.POSST,QRLAA_13R2_FT943.POSST,LBALB_14R2_TC843,QRLAA_13R2_TC943,4
75,23,ARC,Q14,QRLAB_15R2_X47,LQATI_14R2_EH847.POSST,LQATI_14R2_TT847.POSST,QRLAB_15R2_CV947.POSST,0,QRLAA_13R2_PT961.POSST,QRLAA_13R2_PT991.POSST,QRLAB_15R2_TT947.POSST,QRLAA_13R2_TT961.POSST,5,41,0.39,4,53,QRLAB_15R2_QBS947.POSST,QRLAB_15R2_FT947.POSST,LQATI_14R2_TC847,QRLAB_15R2_TC947,3
76,23,ARC,Q15,QRLAB_15R2_X43,LBALB_16R2_EH843.POSST,LBALB_16R2_TT843.POSST,QRLAB_15R2_CV943.POSST,0,QRLAA_17R2_PT961.POSST,QRLAA_17R2_PT991.POSST,QRLAB_15R2_TT943.POSST,QRLAA_17R2_TT961.POSST,5,47,0.39,4,53,QRLAB_15R2_QBS943.POSST,QRLAB_15R2_FT943.POSST,LBALB_16R2_TC843,QRLAB_15R2_TC943,6
77,23,ARC,Q16,QRLAA_17R2_X47,LQATI_16R2_EH847.POSST,LQATI_16R2_TT847.POSST,QRLAA_17R2_CV947.POSST,0,QRLAA_17R2_PT961.POSST,QRLAA_17R2_PT991.POSST,QRLAA_17R2_TT947.POSST,QRLAA_17R2_TT961.POSST,5,39,0.39,4,53,QRLAA_17R2_QBS947.POSST,QRLAA_17R2_FT947.POSST,LQATI_16R2_TC847,QRLAA_17R2_TC947,1
78,23,ARC,Q17,QRLAA_17R2_X43,LBALB_18R2_EH843.POSST,LBALB_18R2_TT843.POSST,QRLAA_17R2_CV943.POSST,0,QRLAA_17R2_PT961.POSST,QRLAA_17R2_PT991.POSST,QRLAA_17R2_TT943.POSST,QRLAA_17R2_TT961.POSST,5,36,0.39,4,53,QRLAA_17R2_QBS943.POSST,QRLAA_17R2_FT943.POSST,LBALB_18R2_TC843,QRLAA_17R2_TC943,2
79,23,ARC,Q18,QRLAB_19R2_X47,LQATI_18R2_EH847.POSST,LQATI_18R2_TT847.POSST,QRLAB_19R2_CV947.POSST,0,QRLAA_17R2_PT961.POSST,QRLAA_17R2_PT991.POSST,QRLAB_19R2_TT947.POSST,QRLAA_17R2_TT961.POSST,5,47,0.39,4,53,QRLAB_19R2_QBS947.POSST,QRLAB_19R2_FT947.POSST,LQATI_18R2_TC847,QRLAB_19R2_TC947,4
80,23,ARC,Q19,QRLAB_19R2_X43,LBALB_20R2_EH843.POSST,LBALB_20R2_TT843.POSST,QRLAB_19R2_CV943.POSST,0,QRLAA_21R2_PT961.POSST,QRLAA_21R2_PT991.POSST,QRLAB_19R2_TT943.POSST,QRLAA_21R2_TT961.POSST,5,41,0.39,4,53,QRLAB_19R2_QBS943.POSST,QRLAB_19R2_FT943.POSST,LBALB_20R2_TC843,QRLAB_19R2_TC943,1
81,23,ARC,Q20,QRLAA_21R2_X47,LQATI_20R2_EH847.POSST,LQATI_20R2_TT847.POSST,QRLAA_21R2_CV947.POSST,0,QRLAA_21R2_PT961.POSST,QRLAA_21R2_PT991.POSST,QRLAA_21R2_TT947.POSST,QRLAA_21R2_TT961.POSST,5,46,0.39,4,53,QRLAA_21R2_QBS947.POSST,QRLAA_21R2_FT947.POSST,LQATI_20R2_TC847,QRLAA_21R2_TC947,1
82,23,ARC,Q21,QRLAA_21R2_X43,LBALB_22R2_EH843.POSST,LBALB_22R2_TT843.POSST,QRLAA_21R2_CV943.POSST,0,QRLAA_21R2_PT961.POSST,QRLAA_21R2_PT991.POSST,QRLAA_21R2_TT943.POSST,QRLAA_21R2_TT961.POSST,5,39,0.39,4,53,QRLAA_21R2_QBS943.POSST,QRLAA_21R2_FT943.POSST,LBALB_22R2_TC843,QRLAA_21R2_TC943,2
83,23,ARC,Q22,QRLAB_23R2_X47,LQOAH_22R2_EH847.POSST,LQOAH_22R2_TT847.POSST,QRLAB_23R2_CV947.POSST,0,QRLAA_21R2_PT961.POSST,QRLAA_21R2_PT991.POSST,QRLAB_23R2_TT947.POSST,QRLAA_21R2_TT961.POSST,5,39,0.39,4,53,QRLAB_23R2_QBS947.POSST,QRLAB_23R2_FT947.POSST,LQOAH_22R2_TC847,QRLAB_23R2_TC947,4
84,23,ARC,Q23,QRLAB_23R2_X43,LBALB_24R2_EH843.POSST,LBALB_24R2_TT843.POSST,QRLAB_23R2_CV943.POSST,0,QRLAA_25R2_PT961.POSST,QRLAA_25R2_PT991.POSST,QRLAB_23R2_TT943.POSST,QRLAA_25R2_TT961.POSST,5,32,0.39,4,53,QRLAB_23R2_QBS943.POSST,QRLAB_23R2_FT943.POSST,LBALB_24R2_TC843,QRLAB_23R2_TC943,0
85,23,ARC,Q24,QRLAA_25R2_X47,LQOAH_24R2_EH847.POSST,LQOAH_24R2_TT847.POSST,QRLAA_25R2_CV947.POSST,0,QRLAA_25R2_PT961.POSST,QRLAA_25R2_PT991.POSST,QRLAA_25R2_TT947.POSST,QRLAA_25R2_TT961.POSST,5,45,0.39,4,53,QRLAA_25R2_QBS947.POSST,QRLAA_25R2_FT947.POSST,LQOAH_24R2_TC847,QRLAA_25R2_TC947,1
86,23,ARC,Q25,QRLAA_25R2_X43,LBALB_26R2_EH843.POSST,LBALB_26R2_TT843.POSST,QRLAA_25R2_CV943.POSST,0,QRLAA_25R2_PT961.POSST,QRLAA_25R2_PT991.POSST,QRLAA_25R2_TT943.POSST,QRLAA_25R2_TT961.POSST,5,34,0.39,4,53,QRLAA_25R2_QBS943.POSST,QRLAA_25R2_FT943.POSST,LBALB_26R2_TC843,QRLAA_25R2_TC943,10
87,23,ARC,Q26,QRLAB_27R2_X47,LQOAH_26R2_EH847.POSST,LQOAH_26R2_TT847.POSST,QRLAB_27R2_CV947.POSST,0,QRLAA_25R2_PT961.POSST,QRLAA_25R2_PT991.POSST,QRLAB_27R2_TT947.POSST,QRLAA_25R2_TT961.POSST,5,60,0.39,4,53,QRLAB_27R2_QBS947.POSST,QRLAB_27R2_FT947.POSST,LQOAH_26R2_TC847,QRLAB_27R2_TC947,9
88,23,ARC,Q27,QRLAB_27R2_X43,LBALB_28R2_EH843.POSST,LBALB_28R2_TT843.POSST,QRLAB_27R2_CV943.POSST,0,QRLAA_29R2_PT961.POSST,QRLAA_29R2_PT991.POSST,QRLAB_27R2_TT943.POSST,QRLAA_29R2_TT961.POSST,5,40,0.39,4,53,QRLAB_27R2_QBS943.POSST,QRLAB_27R2_FT943.POSST,LBALB_28R2_TC843,QRLAB_27R2_TC943,3
89,23,ARC,Q28,QRLAA_29R2_X47,LQOAH_28R2_EH847.POSST,LQOAH_28R2_TT847.POSST,QRLAA_29R2_CV947.POSST,0,QRLAA_29R2_PT961.POSST,QRLAA_29R2_PT991.POSST,QRLAA_29R2_TT947.POSST,QRLAA_29R2_TT961.POSST,5,40,0.39,4,53,QRLAA_29R2_QBS947.POSST,QRLAA_29R2_FT947.POSST,LQOAH_28R2_TC847,QRLAA_29R2_TC947,0
90,23,ARC,Q29,QRLAA_29R2_X43,LBALB_30R2_EH843.POSST,LBALB_30R2_TT843.POSST,QRLAA_29R2_CV943.POSST,0,QRLAA_29R2_PT961.POSST,QRLAA_29R2_PT991.POSST,QRLAA_29R2_TT943.POSST,QRLAA_29R2_TT961.POSST,5,69,0.39,4,53,QRLAA_29R2_QBS943.POSST,QRLAA_29R2_FT943.POSST,LBALB_30R2_TC843,QRLAA_29R2_TC943,16
91,23,ARC,Q30,QRLAC_31R2_X47,LQOAN_30R2_EH847.POSST,LQOAN_30R2_TT847.POSST,QRLAC_31R2_CV947.POSST,0,QRLAA_29R2_PT961.POSST,QRLAA_29R2_PT991.POSST,QRLAC_31R2_TT947.POSST,QRLAA_29R2_TT961.POSST,5,20,0.39,4,53,QRLAC_31R2_QBS947.POSST,QRLAC_31R2_FT947.POSST,LQOAN_30R2_TC847,QRLAC_31R2_TC947,7
92,23,ARC,Q31,QRLAC_31R2_X43,LBALB_32R2_EH843.POSST,LBALB_32R2_TT843.POSST,QRLAC_31R2_CV943.POSST,0,QRLAA_33L3_PT961.POSST,QRLAA_33L3_PT991.POSST,QRLAC_31R2_TT943.POSST,QRLAA_33L3_TT961.POSST,5,35,0.39,4,53,QRLAC_31R2_QBS943.POSST,QRLAC_31R2_FT943.POSST,LBALB_32R2_TC843,QRLAC_31R2_TC943,9
93,23,ARC,Q32,QRLAD_33R2_X47,LQOAH_32R2_EH847.POSST,LQOAH_32R2_TT847.POSST,QRLAD_33R2_CV947.POSST,0,QRLAA_33L3_PT961.POSST,QRLAA_33L3_PT991.POSST,QRLAD_33R2_TT947.POSST,QRLAA_33L3_TT961.POSST,5,20,0.39,4,53,QRLAD_33R2_QBS947.POSST,QRLAD_33R2_FT947.POSST,LQOAH_32R2_TC847,QRLAD_33R2_TC947,21
94,23,ARC,Q33,QRLAD_33R2_X43,LBALB_34R2_EH843.POSST,LBALB_34R2_TT843.POSST,QRLAD_33R2_CV943.POSST,0,QRLAA_33L3_PT961.POSST,QRLAA_33L3_PT991.POSST,QRLAD_33R2_TT943.POSST,QRLAA_33L3_TT961.POSST,5,37,0.39,4,53,QRLAD_33R2_QBS943.POSST,QRLAD_33R2_FT943.POSST,LBALB_34R2_TC843,QRLAD_33R2_TC943,17
95,23,ARC,Q34,QRLAA_33L3_X47,LQOAN_34R2_EH847.POSST,LQOAN_34R2_TT847.POSST,QRLAA_33L3_CV947.POSST,0,QRLAA_33L3_PT961.POSST,QRLAA_33L3_PT991.POSST,QRLAA_33L3_TT947.POSST,QRLAA_33L3_TT961.POSST,5,59,0.39,4,53,QRLAA_33L3_QBS947.POSST,QRLAA_33L3_FT947.POSST,LQOAN_34R2_TC847,QRLAA_33L3_TC947,11
96,23,ARC,Q33,QRLAA_33L3_X43,LBALB_33L3_EH843.POSST,LBALB_33L3_TT843.POSST,QRLAA_33L3_CV943.POSST,0,QRLAA_33L3_PT961.POSST,QRLAA_33L3_PT991.POSST,QRLAA_33L3_TT943.POSST,QRLAA_33L3_TT961.POSST,5,69,0.39,4,53,QRLAA_33L3_QBS943.POSST,QRLAA_33L3_FT943.POSST,LBALB_33L3_TC843,QRLAA_33L3_TC943,15
97,23,ARC,Q32,QRLAB_31L3_X47,LQOAN_32L3_EH847.POSST,LQOAN_32L3_TT847.POSST,QRLAB_31L3_CV947.POSST,0,QRLAA_33L3_PT961.POSST,QRLAA_33L3_PT991.POSST,QRLAB_31L3_TT947.POSST,QRLAA_33L3_TT961.POSST,5,40,0.39,4,53,QRLAB_31L3_QBS947.POSST,QRLAB_31L3_FT947.POSST,LQOAN_32L3_TC847,QRLAB_31L3_TC947,0
98,23,ARC,Q31,QRLAB_31L3_X43,LBALB_31L3_EH843.POSST,LBALB_31L3_TT843.POSST,QRLAB_31L3_CV943.POSST,0,QRLAA_29L3_PT961.POSST,QRLAA_29L3_PT991.POSST,QRLAB_31L3_TT943.POSST,QRLAA_29L3_TT961.POSST,5,41,0.39,4,53,QRLAB_31L3_QBS943.POSST,QRLAB_31L3_FT943.POSST,LBALB_31L3_TC843,QRLAB_31L3_TC943,5
99,23,ARC,Q30,QRLAA_29L3_X47,LQOAH_30L3_EH847.POSST,LQOAH_30L3_TT847.POSST,QRLAA_29L3_CV947.POSST,0,QRLAA_29L3_PT961.POSST,QRLAA_29L3_PT991.POSST,QRLAA_29L3_TT947.POSST,QRLAA_29L3_TT961.POSST,5,44,0.39,4,53,QRLAA_29L3_QBS947.POSST,QRLAA_29L3_FT947.POSST,LQOAH_30L3_TC847,QRLAA_29L3_TC947,2
100,23,ARC,Q29,QRLAA_29L3_X43,LBALB_29L3_EH843.POSST,LBALB_29L3_TT843.POSST,QRLAA_29L3_CV943.POSST,0,QRLAA_29L3_PT961.POSST,QRLAA_29L3_PT991.POSST,QRLAA_29L3_TT943.POSST,QRLAA_29L3_TT961.POSST,5,52,0.39,4,53,QRLAA_29L3_QBS943.POSST,QRLAA_29L3_FT943.POSST,LBALB_29L3_TC843,QRLAA_29L3_TC943,5
101,23,ARC,Q28,QRLAB_27L3_X47,LQOAN_28L3_EH847.POSST,LQOAN_28L3_TT847.POSST,QRLAB_27L3_CV947.POSST,0,QRLAA_29L3_PT961.POSST,QRLAA_29L3_PT991.POSST,QRLAB_27L3_TT947.POSST,QRLAA_29L3_TT961.POSST,5,39,0.39,4,53,QRLAB_27L3_QBS947.POSST,QRLAB_27L3_FT947.POSST,LQOAN_28L3_TC847,QRLAB_27L3_TC947,1
102,23,ARC,Q27,QRLAB_27L3_X43,LBALB_27L3_EH843.POSST,LBALB_27L3_TT843.POSST,QRLAB_27L3_CV943.POSST,0,QRLAA_25L3_PT961.POSST,QRLAA_25L3_PT991.POSST,QRLAB_27L3_TT943.POSST,QRLAA_25L3_TT961.POSST,5,46,0.39,4,53,QRLAB_27L3_QBS943.POSST,QRLAB_27L3_FT943.POSST,LBALB_27L3_TC843,QRLAB_27L3_TC943,7
103,23,ARC,Q26,QRLAA_25L3_X47,LQOAH_26L3_EH847.POSST,LQOAH_26L3_TT847.POSST,QRLAA_25L3_CV947.POSST,0,QRLAA_25L3_PT961.POSST,QRLAA_25L3_PT991.POSST,QRLAA_25L3_TT947.POSST,QRLAA_25L3_TT961.POSST,5,50,0.39,4,53,QRLAA_25L3_QBS947.POSST,QRLAA_25L3_FT947.POSST,LQOAH_26L3_TC847,QRLAA_25L3_TC947,7
104,23,ARC,Q25,QRLAA_25L3_X43,LBALB_25L3_EH843.POSST,LBALB_25L3_TT843.POSST,QRLAA_25L3_CV943.POSST,0,QRLAA_25L3_PT961.POSST,QRLAA_25L3_PT991.POSST,QRLAA_25L3_TT943.POSST,QRLAA_25L3_TT961.POSST,5,44,0.39,4,53,QRLAA_25L3_QBS943.POSST,QRLAA_25L3_FT943.POSST,LBALB_25L3_TC843,QRLAA_25L3_TC943,5
105,23,ARC,Q24,QRLAB_23L3_X47,LQOAH_24L3_EH847.POSST,LQOAH_24L3_TT847.POSST,QRLAB_23L3_CV947.POSST,0,QRLAA_25L3_PT961.POSST,QRLAA_25L3_PT991.POSST,QRLAB_23L3_TT947.POSST,QRLAA_25L3_TT961.POSST,5,48,0.39,4,53,QRLAB_23L3_QBS947.POSST,QRLAB_23L3_FT947.POSST,LQOAH_24L3_TC847,QRLAB_23L3_TC947,6
106,23,ARC,Q23,QRLAB_23L3_X43,LBALB_23L3_EH843.POSST,LBALB_23L3_TT843.POSST,QRLAB_23L3_CV943.POSST,0,QRLAA_21L3_PT961.POSST,QRLAA_21L3_PT991.POSST,QRLAB_23L3_TT943.POSST,QRLAA_21L3_TT961.POSST,5,39,0.39,4,53,QRLAB_23L3_QBS943.POSST,QRLAB_23L3_FT943.POSST,LBALB_23L3_TC843,QRLAB_23L3_TC943,5
107,23,ARC,Q22,QRLAA_21L3_X47,LQOAH_22L3_EH847.POSST,LQOAH_22L3_TT847.POSST,QRLAA_21L3_CV947.POSST,0,QRLAA_21L3_PT961.POSST,QRLAA_21L3_PT991.POSST,QRLAA_21L3_TT947.POSST,QRLAA_21L3_TT961.POSST,5,34,0.39,4,53,QRLAA_21L3_QBS947.POSST,QRLAA_21L3_FT947.POSST,LQOAH_22L3_TC847,QRLAA_21L3_TC947,1
108,23,ARC,Q21,QRLAA_21L3_X43,LBALB_21L3_EH843.POSST,LBALB_21L3_TT843.POSST,QRLAA_21L3_CV943.POSST,0,QRLAA_21L3_PT961.POSST,QRLAA_21L3_PT991.POSST,QRLAA_21L3_TT943.POSST,QRLAA_21L3_TT961.POSST,5,38,0.39,4,53,QRLAA_21L3_QBS943.POSST,QRLAA_21L3_FT943.POSST,LBALB_21L3_TC843,QRLAA_21L3_TC943,0
109,23,ARC,Q20,QRLAB_19L3_X47,LQATI_20L3_EH847.POSST,LQATI_20L3_TT847.POSST,QRLAB_19L3_CV947.POSST,0,QRLAA_21L3_PT961.POSST,QRLAA_21L3_PT991.POSST,QRLAB_19L3_TT947.POSST,QRLAA_21L3_TT961.POSST,5,51,0.39,4,53,QRLAB_19L3_QBS947.POSST,QRLAB_19L3_FT947.POSST,LQATI_20L3_TC847,QRLAB_19L3_TC947,1
110,23,ARC,Q19,QRLAB_19L3_X43,LBALB_19L3_EH843.POSST,LBALB_19L3_TT843.POSST,QRLAB_19L3_CV943.POSST,0,QRLAG_17L3_PT961.POSST,QRLAG_17L3_PT991.POSST,QRLAB_19L3_TT943.POSST,QRLAG_17L3_TT961.POSST,5,46,0.39,4,53,QRLAB_19L3_QBS943.POSST,QRLAB_19L3_FT943.POSST,LBALB_19L3_TC843,QRLAB_19L3_TC943,1
111,23,ARC,Q18,QRLAG_17L3_X47,LQATI_18L3_EH847.POSST,LQATI_18L3_TT847.POSST,QRLAG_17L3_CV947.POSST,0,QRLAG_17L3_PT961.POSST,QRLAG_17L3_PT991.POSST,QRLAG_17L3_TT947.POSST,QRLAG_17L3_TT961.POSST,5,36,0.39,4,53,QRLAG_17L3_QBS947.POSST,QRLAG_17L3_FT947.POSST,LQATI_18L3_TC847,QRLAG_17L3_TC947,0
112,23,ARC,Q17,QRLAG_17L3_X43,LBALB_17L3_EH843.POSST,LBALB_17L3_TT843.POSST,QRLAG_17L3_CV943.POSST,0,QRLAG_17L3_PT961.POSST,QRLAG_17L3_PT991.POSST,QRLAG_17L3_TT943.POSST,QRLAG_17L3_TT961.POSST,5,44,0.39,4,53,QRLAG_17L3_QBS943.POSST,QRLAG_17L3_FT943.POSST,LBALB_17L3_TC843,QRLAG_17L3_TC943,7
113,23,ARC,Q16,QRLAH_15L3_X47,LQATI_16L3_EH847.POSST,LQATI_16L3_TT847.POSST,QRLAH_15L3_CV947.POSST,0,QRLAG_17L3_PT961.POSST,QRLAG_17L3_PT991.POSST,QRLAH_15L3_TT947.POSST,QRLAG_17L3_TT961.POSST,5,34,0.39,4,53,QRLAH_15L3_QBS947.POSST,QRLAH_15L3_FT947.POSST,LQATI_16L3_TC847,QRLAH_15L3_TC947,3
114,23,ARC,Q15,QRLAH_15L3_X43,LBALB_15L3_EH843.POSST,LBALB_15L3_TT843.POSST,QRLAH_15L3_CV943.POSST,0,QRLAG_13L3_PT961.POSST,QRLAG_13L3_PT991.POSST,QRLAH_15L3_TT943.POSST,QRLAG_13L3_TT961.POSST,5,48,0.39,4,53,QRLAH_15L3_QBS943.POSST,QRLAH_15L3_FT943.POSST,LBALB_15L3_TC843,QRLAH_15L3_TC943,2
115,23,ARC,Q14,QRLAG_13L3_X47,LQATI_14L3_EH847.POSST,LQATI_14L3_TT847.POSST,QRLAG_13L3_CV947.POSST,0,QRLAG_13L3_PT961.POSST,QRLAG_13L3_PT991.POSST,QRLAG_13L3_TT947.POSST,QRLAG_13L3_TT961.POSST,5,41,0.39,4,53,QRLAG_13L3_QBS947.POSST,QRLAG_13L3_FT947.POSST,LQATI_14L3_TC847,QRLAG_13L3_TC947,9
116,23,ARC,Q13,QRLAG_13L3_X43,LBALB_13L3_EH843.POSST,LBALB_13L3_TT843.POSST,QRLAG_13L3_CV943.POSST,0,QRLAG_13L3_PT961.POSST,QRLAG_13L3_PT991.POSST,QRLAG_13L3_TT943.POSST,QRLAG_13L3_TT961.POSST,5,47,0.39,4,53,QRLAG_13L3_QBS943.POSST,QRLAG_13L3_FT943.POSST,LBALB_13L3_TC843,QRLAG_13L3_TC943,1
117,23,ARC,Q12,QRLAH_11L3_X47,LQATI_12L3_EH847.POSST,LQATI_12L3_TT847.POSST,QRLAH_11L3_CV947.POSST,0,QRLAG_13L3_PT961.POSST,QRLAG_13L3_PT991.POSST,QRLAH_11L3_TT947.POSST,QRLAG_13L3_TT961.POSST,5,54,0.39,4,53,QRLAH_11L3_QBS947.POSST,QRLAH_11L3_FT947.POSST,LQATI_12L3_TC847,QRLAH_11L3_TC947,2
118,23,ARC,Q11,QRLAH_11L3_X43,LBBLB_11L3_EH843.POSST,LBBLB_11L3_TT843.POSST,QRLAH_11L3_CV943.POSST,0,QRLBB_09L3_PT961.POSST,QRLBB_09L3_PT991.POSST,QRLAH_11L3_TT943.POSST,QRLBB_09L3_TT961.POSST,5,56,0.39,4,45,QRLAH_11L3_QBS943.POSST,QRLAH_11L3_FT943.POSST,LBBLB_11L3_TC843,QRLAH_11L3_TC943,2
119,23,ARC,Q10,QRLBB_09L3_X47,LQTBD_10L3_EH847.POSST,LQTBD_10L3_TT847.POSST,QRLBB_09L3_CV947.POSST,0,QRLBB_09L3_PT961.POSST,QRLBB_09L3_PT991.POSST,QRLBB_09L3_TT947.POSST,QRLBB_09L3_TT961.POSST,5,54,0.39,4,45,QRLBB_09L3_QBS947.POSST,QRLBB_09L3_FT947.POSST,LQTBD_10L3_TC847,QRLBB_09L3_TC947,1
120,23,ARC,Q9,QRLBB_09L3_X43,LBBLB_09L3_EH843.POSST,LBBLB_09L3_TT843.POSST,QRLBB_09L3_CV943.POSST,0,QRLBB_09L3_PT961.POSST,QRLBB_09L3_PT991.POSST,QRLBB_09L3_TT943.POSST,QRLBB_09L3_TT961.POSST,5,46,0.39,4,45,QRLBB_09L3_QBS943.POSST,QRLBB_09L3_FT943.POSST,LBBLB_09L3_TC843,QRLBB_09L3_TC943,1
