Nb,Sector,Type,magnet,Loop,QEH,T2,CV1,CV2,P1,P4,T3,T1,QS,R,Kvmax,nc,L,Qbs,MassFlow
376,78,ARC,Q19,QRLAB_19R7_X43,LBARB_20R7_EH843.POSST,LBARB_20R7_TT843.POSST,QRLAB_19R7_CV943.POSST,0,QRLAA_21R7_PT961.POSST,QRLAA_21R7_PT991.POSST,QRLAB_19R7_TT943.POSST,QRLAA_21R7_TT961.POSST,5,44,0.39,4,53,QRLAB_19R7_QBS943.POSST,QRLAB_19R7_FT943.POSST
377,78,ARC,Q20,QRLAA_21R7_X47,LQATH_20R7_EH847.POSST,LQATH_20R7_TT847.POSST,QRLAA_21R7_CV947.POSST,0,QRLAA_21R7_PT961.POSST,QRLAA_21R7_PT991.POSST,QRLAA_21R7_TT947.POSST,QRLAA_21R7_TT961.POSST,5,35,0.39,4,53,QRLAA_21R7_QBS947.POSST,QRLAA_21R7_FT947.POSST
378,78,ARC,Q21,QRLAA_21R7_X43,LBARB_22R7_EH843.POSST,LBARB_22R7_TT843.POSST,QRLAA_21R7_CV943.POSST,0,QRLAA_21R7_PT961.POSST,QRLAA_21R7_PT991.POSST,QRLAA_21R7_TT943.POSST,QRLAA_21R7_TT961.POSST,5,47,0.39,4,53,QRLAA_21R7_QBS943.POSST,QRLAA_21R7_FT943.POSST
379,78,ARC,Q22,QRLAB_23R7_X47,LQOAG_22R7_EH847.POSST,LQOAG_22R7_TT847.POSST,QRLAB_23R7_CV947.POSST,0,QRLAA_21R7_PT961.POSST,QRLAA_21R7_PT991.POSST,QRLAB_23R7_TT947.POSST,QRLAA_21R7_TT961.POSST,5,46,0.39,4,53,QRLAB_23R7_QBS947.POSST,QRLAB_23R7_FT947.POSST
380,78,ARC,Q23,QRLAB_23R7_X43,LBARB_24R7_EH843.POSST,LBARB_24R7_TT843.POSST,QRLAB_23R7_CV943.POSST,0,QRLAA_25R7_PT961.POSST,QRLAA_25R7_PT991.POSST,QRLAB_23R7_TT943.POSST,QRLAA_25R7_TT961.POSST,5,36,0.39,4,53,QRLAB_23R7_QBS943.POSST,QRLAB_23R7_FT943.POSST
381,78,ARC,Q24,QRLAA_25R7_X47,LQOAG_24R7_EH847.POSST,LQOAG_24R7_TT847.POSST,QRLAA_25R7_CV947.POSST,0,QRLAA_25R7_PT961.POSST,QRLAA_25R7_PT991.POSST,QRLAA_25R7_TT947.POSST,QRLAA_25R7_TT961.POSST,5,40,0.39,4,53,QRLAA_25R7_QBS947.POSST,QRLAA_25R7_FT947.POSST
382,78,ARC,Q25,QRLAA_25R7_X43,LBARB_26R7_EH843.POSST,LBARB_26R7_TT843.POSST,QRLAA_25R7_CV943.POSST,0,QRLAA_25R7_PT961.POSST,QRLAA_25R7_PT991.POSST,QRLAA_25R7_TT943.POSST,QRLAA_25R7_TT961.POSST,5,35,0.39,4,53,QRLAA_25R7_QBS943.POSST,QRLAA_25R7_FT943.POSST
383,78,ARC,Q26,QRLAB_27R7_X47,LQOAG_26R7_EH847.POSST,LQOAG_26R7_TT847.POSST,QRLAB_27R7_CV947.POSST,0,QRLAA_25R7_PT961.POSST,QRLAA_25R7_PT991.POSST,QRLAB_27R7_TT947.POSST,QRLAA_25R7_TT961.POSST,5,48,0.39,4,53,QRLAB_27R7_QBS947.POSST,QRLAB_27R7_FT947.POSST
384,78,ARC,Q27,QRLAB_27R7_X43,LBARB_28R7_EH843.POSST,LBARB_28R7_TT843.POSST,QRLAB_27R7_CV943.POSST,0,QRLAA_29R7_PT961.POSST,QRLAA_29R7_PT991.POSST,QRLAB_27R7_TT943.POSST,QRLAA_29R7_TT961.POSST,5,37,0.39,4,53,QRLAB_27R7_QBS943.POSST,QRLAB_27R7_FT943.POSST
385,78,ARC,Q28,QRLAA_29R7_X47,LQOAG_28R7_EH847.POSST,LQOAG_28R7_TT847.POSST,QRLAA_29R7_CV947.POSST,0,QRLAA_29R7_PT961.POSST,QRLAA_29R7_PT991.POSST,QRLAA_29R7_TT947.POSST,QRLAA_29R7_TT961.POSST,5,39,0.39,4,53,QRLAA_29R7_QBS947.POSST,QRLAA_29R7_FT947.POSST
